Config:
  csv_path: TourismData_Rob_J_Hyndman.csv
  out_dir: runs_hensgen_nbeats_ncl
  total_points: 223
  train_points: 150
  val_points: 25
  test_points: 48
  seq_len: 50
  horizon: 1
  use_minmax_scaling: True
  epochs: 1000
  batches_per_epoch: 25
  batch_size: 32
  eta: 0.005
  weight_decay: 0.0
  seeds: (1337, 1338, 1339, 1340, 1341)
  enc_dim: 1024
  num_blocks: 6
  block_hidden_width: 512
  block_num_layers: 4
  latent_dim: 512
  dropout: 0.0
  use_bn_on_latent: True
  use_dynamic_alpha: True
  epoch_period: 100
  alpha_s_init: 100.0
  alpha_i: 0.1
  eps_lc: 1e-12
  num_workers: 0
  pin_memory: True
  device: cuda

Data:
  T = 228
  bottom series = 304
  hierarchy series (n_all) = 555
  states=7, zones=27, regions=76, purposes=4
Sanity mean(|y - A y|) on constructed targets (ORIG) = 1.098448e-04
Scaling: per-series Min-Max fitted on TRAIN slice only; training uses scaled space; reporting uses original units.
[ncl seed=1339] epoch  100 | train MSE(scaled)=0.009547 | val RMSE(orig)=197.127766 | val coh(orig)=0.332130 | alpha=1.939e+04 | lr=4.912e-04
[ncl seed=1339] epoch  250 | train MSE(scaled)=0.006295 | val RMSE(orig)=196.823648 | val coh(orig)=0.127630 | alpha=1.012e+05 | lr=4.226e-04
[ncl seed=1339] epoch  500 | train MSE(scaled)=0.003113 | val RMSE(orig)=177.297572 | val coh(orig)=0.138668 | alpha=8.574e+04 | lr=4.286e-04
[ncl seed=1339] epoch  750 | train MSE(scaled)=0.003369 | val RMSE(orig)=199.137589 | val coh(orig)=0.092715 | alpha=6.740e+04 | lr=4.376e-04
[ncl seed=1339] epoch 1000 | train MSE(scaled)=0.002394 | val RMSE(orig)=168.371563 | val coh(orig)=0.148925 | alpha=6.278e+04 | lr=4.404e-04
[ncl seed=1340] epoch    1 | train MSE(scaled)=0.165902 | val RMSE(orig)=3455.066076 | val coh(orig)=452.069061 | alpha=1.000e+02 | lr=1.014e-03
[ncl seed=1340] epoch    5 | train MSE(scaled)=0.033125 | val RMSE(orig)=618.331296 | val coh(orig)=2.160719 | alpha=7.281e+03 | lr=5.435e-04
[ncl seed=1340] epoch   10 | train MSE(scaled)=0.026268 | val RMSE(orig)=1229.347205 | val coh(orig)=0.512231 | alpha=9.681e+03 | lr=5.271e-04
[ncl seed=1340] epoch   50 | train MSE(scaled)=0.016833 | val RMSE(orig)=309.270410 | val coh(orig)=0.192469 | alpha=1.705e+04 | lr=4.975e-04
[ncl seed=1340] epoch  100 | train MSE(scaled)=0.012680 | val RMSE(orig)=198.271042 | val coh(orig)=0.265275 | alpha=2.264e+04 | lr=4.838e-04
[ncl seed=1340] epoch  250 | train MSE(scaled)=0.006762 | val RMSE(orig)=191.489616 | val coh(orig)=0.171489 | alpha=1.019e+05 | lr=4.224e-04
[ncl seed=1340] epoch  500 | train MSE(scaled)=0.004175 | val RMSE(orig)=171.138014 | val coh(orig)=0.107676 | alpha=7.630e+04 | lr=4.329e-04
[ncl seed=1340] epoch  750 | train MSE(scaled)=0.002597 | val RMSE(orig)=173.508026 | val coh(orig)=0.080474 | alpha=6.635e+04 | lr=4.382e-04
[ncl seed=1340] epoch 1000 | train MSE(scaled)=0.002216 | val RMSE(orig)=167.739824 | val coh(orig)=0.136091 | alpha=6.033e+04 | lr=4.419e-04
[ncl seed=1341] epoch    1 | train MSE(scaled)=0.158084 | val RMSE(orig)=3866.008088 | val coh(orig)=513.966431 | alpha=1.000e+02 | lr=1.014e-03
[ncl seed=1341] epoch    5 | train MSE(scaled)=0.033639 | val RMSE(orig)=702.528716 | val coh(orig)=6.012189 | alpha=6.198e+03 | lr=5.532e-04
[ncl seed=1341] epoch   10 | train MSE(scaled)=0.027077 | val RMSE(orig)=381.545005 | val coh(orig)=0.706230 | alpha=7.980e+03 | lr=5.381e-04
[ncl seed=1341] epoch   50 | train MSE(scaled)=0.015291 | val RMSE(orig)=210.779117 | val coh(orig)=0.309128 | alpha=1.524e+04 | lr=5.031e-04
[ncl seed=1341] epoch  100 | train MSE(scaled)=0.013578 | val RMSE(orig)=291.193806 | val coh(orig)=0.155640 | alpha=2.080e+04 | lr=4.878e-04
[ncl seed=1341] epoch  250 | train MSE(scaled)=0.006329 | val RMSE(orig)=174.160543 | val coh(orig)=0.230482 | alpha=1.101e+05 | lr=4.196e-04
[ncl seed=1341] epoch  500 | train MSE(scaled)=0.003807 | val RMSE(orig)=178.296409 | val coh(orig)=0.132763 | alpha=8.661e+04 | lr=4.282e-04
[ncl seed=1341] epoch  750 | train MSE(scaled)=0.002997 | val RMSE(orig)=195.569186 | val coh(orig)=0.122905 | alpha=6.974e+04 | lr=4.363e-04
[ncl seed=1341] epoch 1000 | train MSE(scaled)=0.002408 | val RMSE(orig)=198.563292 | val coh(orig)=0.120564 | alpha=6.260e+04 | lr=4.405e-04

Summary (mean±std across seeds):
       mode       test_mse                 test_rmse              test_coh  \
                      mean           std        mean         std      mean   
0  baseline  149847.969730  80791.119449  373.398263  114.136470  1.747232   
1       ncl   60763.732853   3136.337269  246.438860    6.287011  0.133374   

            best_val_rmse              
        std          mean         std  
0  0.382974    325.542332  102.916579  
1  0.033712    154.449971    3.604787  

Outputs written to: /home/jovyan/Australian_Tourism_Data/Repository/runs_hensgen_nbeats_ncl
